"municipality","child_population","total_area_km2","covered_area","uncovered_area","need_index","uncovered_pct"
"Frederiksberg",14674,8.63587472441721,8.63587472445512,-3.79039022391225e-11,-387136920822211,-4.38912136276739e-10
"Koebenhavn",94286,89.0501732230333,80.9691954332568,8.08097778977644,11667.6474620788,9.07463455409232
"Aarhus",54225,470.241043007755,177.071766836794,293.16927617096,184.961400826937,62.3444679128372
"Ringkoebing Skjern",8864,1467.30157904538,72.5651415425752,1394.7364375028,6.35532259834731,95.0545175866446
"Silkeborg",18090,860.26525178066,234.929499958758,625.335751821902,28.9284595472035,72.6910392495247
"Vesthimmerland",5418,763.816052412506,67.3579725676319,696.458079844874,7.77936268785449,91.1813881948563
